,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
19,0017_01,2,0,7,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True
20,0017_02,2,0,6,3,14.0,0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False
21,0020_01,2,1,5,1,1.0,0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False
22,0020_02,2,1,5,3,49.0,0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False
23,0020_03,2,1,5,3,29.0,0,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False
24,0020_04,2,0,5,1,10.0,0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True
25,0020_05,2,1,5,2,1.0,0,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False
26,0020_06,2,0,5,1,7.0,0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False
27,0022_01,3,0,4,1,21.0,0,980.0,2.0,69.0,0.0,0.0,Missing,False
28,0024_01,1,1,3,1,62.0,0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True
29,0025_01,2,0,6,1,15.0,0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False
30,0026_01,1,0,3,3,34.0,0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False
31,0028_01,3,0,6,1,43.0,0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False
32,0030_01,2,0,7,1,32.0,0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False
33,0031_01,3,0,6,1,47.0,0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True
34,0031_02,3,0,6,1,2.0,0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True
35,0031_03,3,0,6,1,20.0,0,0.0,0.0,1750.0,990.0,0.0,Dontch Datie,True
36,0034_01,1,1,4,3,28.0,0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True
37,0035_01,3,0,4,3,23.0,0,784.0,964.0,0.0,951.0,0.0,Luse Butte,False
38,0036_01,2,0,6,3,15.0,0,0.0,492.0,48.0,20.0,401.0,Marina Leodger,False
39,0038_01,2,0,6,3,20.0,0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False
40,0039_01,2,1,7,3,30.0,0,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False
41,0041_01,2,1,7,1,17.0,0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True
42,0043_01,1,0,2,1,45.0,0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False
43,0044_01,2,1,7,1,55.0,0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False
44,0044_02,2,1,7,3,4.0,0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True
45,0044_03,2,1,7,2,21.0,0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True
46,0045_01,3,0,6,1,21.0,0,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False
47,0045_02,3,1,6,1,19.0,0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True
48,0050_01,2,0,5,3,35.0,0,790.0,0.0,0.0,0.0,0.0,Sony Lancis,False
49,0051_01,2,0,5,1,56.0,0,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,False
51,0053_01,2,0,6,1,25.0,0,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,True
52,0056_01,1,0,1,1,2.0,0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True
53,0056_02,1,1,1,1,38.0,0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True
54,0056_03,1,0,1,1,27.0,0,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True
55,0058_01,2,1,7,2,36.0,0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False
56,0061_01,2,0,6,1,22.0,0,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,False
57,0062_01,2,0,6,1,62.0,0,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,False
58,0064_01,3,1,6,1,15.0,0,0.0,0.0,0.0,0.0,0.0,Missing,True
59,0064_02,2,1,5,1,33.0,0,0.0,0.0,0.0,0.0,0.0,Colatz Keen,True
60,0066_01,2,0,7,1,62.0,0,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,False
61,0067_01,2,1,7,2,0.0,0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True
62,0067_02,2,0,7,1,18.0,0,1.0,258.0,446.0,0.0,0.0,Celine Leeves,True
63,0067_03,2,0,6,3,21.0,0,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,False
65,0069_01,2,0,6,1,42.0,0,887.0,0.0,9.0,6.0,0.0,Missing,True
66,0070_01,2,0,6,1,19.0,0,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,False
67,0071_01,2,0,6,1,17.0,0,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,False
68,0072_01,2,0,6,1,14.0,0,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,False
69,0073_01,3,0,4,2,37.0,0,46.0,83.0,738.0,0.0,12.0,Gorn Make,False
70,0074_01,1,0,3,1,42.0,0,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,True
71,0076_01,3,0,6,1,27.0,0,147.0,0.0,1018.0,0.0,0.0,Conk Dal,True
72,0077_01,3,0,6,1,28.0,0,14.0,0.0,1295.0,0.0,0.0,Pon Blité,True
73,0078_01,1,0,3,1,38.0,0,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,False
74,0081_01,2,1,7,1,13.0,0,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,False
75,0082_01,3,0,6,1,42.0,0,7406.0,0.0,0.0,0.0,0.0,Totse Datte,False
76,0082_02,3,1,6,1,2.0,0,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True
77,0082_03,3,0,6,1,8.0,0,0.0,0.0,0.0,0.0,0.0,Missing,True
78,0084_01,2,0,7,1,24.0,0,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,True
79,0085_01,1,1,3,1,40.0,0,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,True
80,0086_01,2,0,6,1,43.0,0,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,False
81,0088_01,3,1,5,2,45.0,0,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,True
82,0090_01,2,1,7,1,35.0,0,0.0,0.0,0.0,0.0,0.0,Heremy Santry,True
83,0091_01,2,1,7,1,26.0,0,0.0,0.0,0.0,0.0,0.0,Deanne Yorkland,True
84,0091_02,2,0,6,1,27.0,0,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,False
85,0092_01,2,0,7,1,19.0,0,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,False
86,0092_02,2,1,7,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Stald Hewson,True
87,0092_03,2,1,7,1,3.0,0,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,True
88,0097_01,1,0,1,1,54.0,0,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,False
89,0098_01,2,0,7,1,26.0,0,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,False
90,0098_02,2,0,7,1,26.0,0,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,True
91,0099_01,2,0,6,2,23.0,0,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,False
92,0099_02,2,0,7,1,2.0,0,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,True
93,0101_01,3,1,7,1,31.0,0,0.0,0.0,0.0,0.0,0.0,Book Trad,True
94,0102_01,2,0,6,1,18.0,0,0.0,0.0,0.0,830.0,91.0,Ritany Holson,False
95,0103_01,2,0,6,1,24.0,0,0.0,0.0,0.0,0.0,17.0,Arlen Mclainez,True
96,0103_02,2,1,7,3,9.0,0,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,True
97,0103_03,2,1,7,1,6.0,0,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,False
98,0105_01,2,0,6,1,27.0,0,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,False
99,0107_01,3,0,4,1,21.0,0,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,False
100,0108_01,2,1,7,1,23.0,0,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,False
101,0108_02,2,0,7,1,31.0,0,562.0,0.0,326.0,0.0,0.0,Missing,False
102,0108_03,2,0,7,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,True
103,0110_01,1,0,7,1,32.0,0,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,False
104,0110_02,1,0,2,1,40.0,0,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,False
105,0110_03,1,0,2,1,42.0,0,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,True
106,0110_04,1,1,2,1,28.0,0,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True
107,0111_01,1,1,5,1,29.0,0,0.0,0.0,0.0,0.0,0.0,Aldera Supred,True
108,0112_01,1,0,2,3,48.0,1,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,True
109,0113_01,2,0,6,1,64.0,0,0.0,0.0,804.0,0.0,0.0,Idary Carvis,True
110,0114_01,2,0,7,1,27.0,0,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,False
111,0115_01,3,0,6,1,26.0,0,0.0,0.0,0.0,0.0,0.0,Rohs Pead,True
112,0116_01,1,0,4,1,33.0,0,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,True
113,0119_01,2,0,1,1,39.0,0,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,False
114,0119_02,1,1,1,1,13.0,0,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True
115,0120_01,3,1,6,1,24.0,0,0.0,0.0,0.0,0.0,0.0,Bees Sacre,True
116,0122_01,2,0,7,1,29.0,0,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,False
117,0123_01,2,0,6,1,18.0,0,55.0,597.0,49.0,0.0,1.0,Iree Fielson,False
118,0126_01,3,1,6,1,67.0,0,0.0,0.0,0.0,0.0,0.0,Milly Mish,True
119,0127_01,3,0,5,1,35.0,0,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,False
120,0128_01,3,0,4,1,61.0,1,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,False
121,0128_02,3,0,5,1,45.0,0,2103.0,6.0,0.0,0.0,0.0,Barave Fles,False
122,0129_01,2,1,7,2,22.0,0,0.0,0.0,0.0,0.0,0.0,Race Fowles,True
123,0133_01,3,1,6,1,19.0,0,0.0,0.0,0.0,0.0,0.0,Flynx Blie,True
124,0133_02,3,0,4,1,36.0,0,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,False
125,0134_01,2,0,7,1,19.0,0,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,True
126,0136_01,2,0,7,2,47.0,0,97.0,418.0,126.0,25.0,55.0,Missing,False
127,0138_01,2,1,7,1,13.0,0,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,True
128,0138_02,2,0,5,1,34.0,0,0.0,22.0,0.0,564.0,207.0,Monah Gambs,False
129,0139_01,1,1,3,3,35.0,0,0.0,0.0,0.0,0.0,0.0,Charda Myling,True
130,0140_01,2,1,7,1,24.0,0,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,True
131,0140_02,2,0,6,1,26.0,0,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,False
132,0141_01,3,0,6,1,31.0,0,0.0,0.0,97.0,0.0,0.0,Pyrohs Harte,False
133,0144_01,2,0,6,1,20.0,0,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,True
134,0146_01,2,0,7,1,56.0,0,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,False
135,0147_01,2,1,7,1,50.0,0,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,True
136,0148_01,3,0,6,1,42.0,0,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,False
138,0151_01,2,1,7,3,38.0,0,0.0,0.0,0.0,0.0,0.0,Shanie Simson,False
139,0152_01,2,0,6,1,41.0,0,0.0,0.0,0.0,0.0,607.0,Andan Estron,False
140,0160_01,2,0,7,1,22.0,0,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,False
141,0163_01,1,1,2,1,26.0,0,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,True
142,0163_02,1,1,2,1,17.0,0,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,True
143,0164_01,2,0,7,1,57.0,0,50.0,1688.0,0.0,0.0,135.0,Fany Hutchinton,True
144,0164_02,2,1,7,2,17.0,0,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,False
145,0165_01,3,1,6,1,35.0,0,0.0,0.0,0.0,0.0,0.0,Graven Anche,True
146,0167_01,3,1,6,1,13.0,0,0.0,0.0,0.0,0.0,0.0,Miten Floaf,True
147,0167_02,3,0,6,1,27.0,0,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,False
148,0169_01,2,1,7,1,31.0,0,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,False
149,0170_01,2,0,5,1,24.0,0,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,False
150,0171_01,2,1,7,2,19.0,0,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,True
151,0172_01,2,1,7,1,32.0,0,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,True
152,0173_01,2,0,5,1,58.0,0,0.0,985.0,0.0,5.0,0.0,Hilip Grifford,True
153,0174_01,2,0,6,3,21.0,0,287.0,0.0,16.0,115.0,175.0,Doryn Lambles,False
154,0177_01,1,0,2,1,38.0,0,0.0,10346.0,1.0,14970.0,2111.0,Toperon Iniouser,False
155,0178_01,3,0,4,1,38.0,0,3414.0,0.0,161.0,28.0,119.0,Wees Knik,False
156,0179_01,2,0,7,1,19.0,0,1.0,219.0,673.0,2.0,11.0,Elaney Webstephrey,True
157,0179_02,2,0,7,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Raque Webstephrey,False
158,0179_03,2,0,7,1,3.0,0,0.0,0.0,0.0,0.0,0.0,Sallyl Webstephrey,True
159,0181_01,2,0,7,1,20.0,0,0.0,0.0,3.0,299.0,92.0,Nancis Brighttt,False
160,0182_01,1,1,3,1,24.0,0,0.0,0.0,0.0,0.0,0.0,Ksorab Disight,True
161,0183_01,2,0,6,1,37.0,0,17.0,146.0,426.0,0.0,232.0,Stany Weaves,True
162,0186_01,2,0,7,1,25.0,0,62.0,0.0,0.0,0.0,956.0,Camiet Shephendry,False
163,0188_01,2,1,7,1,56.0,0,0.0,0.0,0.0,0.0,0.0,Branda Romez,True
164,0189_01,2,0,5,3,49.0,0,84.0,3.0,401.0,202.0,98.0,Helly Booters,False
165,0190_01,2,1,7,3,11.0,0,0.0,0.0,0.0,0.0,0.0,Missing,False
166,0192_01,2,1,7,1,1.0,0,0.0,0.0,0.0,0.0,0.0,Tance Adavisons,True
167,0192_02,2,0,7,1,8.0,0,0.0,0.0,0.0,0.0,0.0,Robyny Adavisons,False
168,0192_03,2,0,7,1,39.0,0,0.0,0.0,10.0,898.0,0.0,Lilace Adavisons,False
169,0193_01,3,1,6,1,2.0,0,0.0,0.0,0.0,0.0,0.0,Sps Raf,True
170,0193_02,3,0,6,1,23.0,0,0.0,0.0,8.0,1072.0,0.0,Frook Raf,False
171,0193_03,3,0,6,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Goles Raf,True
172,0195_01,3,0,6,1,39.0,0,406.0,0.0,867.0,0.0,0.0,Bar Floaf,True
173,0196_01,3,0,4,2,25.0,0,1052.0,0.0,719.0,0.0,7.0,Caper Emead,False
174,0197_01,1,0,3,1,36.0,0,0.0,972.0,0.0,795.0,575.0,Astrak Dissper,False
175,0198_01,2,0,7,2,52.0,0,0.0,0.0,0.0,0.0,0.0,Jeroy Cookson,True
176,0199_01,2,1,7,1,18.0,0,0.0,0.0,0.0,0.0,0.0,Regana Morrows,False
177,0200_01,2,1,7,1,15.0,0,0.0,0.0,0.0,0.0,0.0,Elia Colomonson,True
178,0201_01,1,1,2,1,35.0,0,0.0,0.0,0.0,0.0,0.0,Kaffias Bacistion,True
179,0201_02,1,1,2,1,47.0,0,0.0,0.0,0.0,0.0,0.0,Edaruma Bacistion,True
180,0202_01,1,1,2,3,45.0,0,0.0,0.0,0.0,0.0,0.0,Pomera Embleng,True
182,0203_01,1,1,3,1,51.0,0,0.0,0.0,0.0,0.0,0.0,Ancham Heateele,True
183,0205_01,2,0,7,1,29.0,0,0.0,2.0,66.0,0.0,705.0,Carma Oneiles,False
185,0207_01,2,1,7,2,19.0,0,0.0,0.0,0.0,0.0,0.0,Thony Mcfaddennon,False
186,0210_01,2,1,4,3,24.0,0,0.0,0.0,0.0,0.0,0.0,Arraid Inicont,True
187,0211_01,3,0,6,1,29.0,0,902.0,1.0,137.0,0.0,0.0,Pebuts Appie,True
188,0211_02,3,1,6,1,11.0,0,0.0,0.0,0.0,0.0,0.0,Corsh Appie,True
189,0211_03,3,0,6,1,17.0,0,848.0,0.0,307.0,182.0,0.0,Picers Date,False
190,0212_01,2,0,5,1,13.0,0,192.0,0.0,0.0,51.0,739.0,Inen Workmans,False
191,0212_02,2,0,6,1,35.0,0,147.0,188.0,0.0,10.0,387.0,Shally Workmans,False
192,0213_01,2,0,6,1,21.0,0,367.0,281.0,0.0,0.0,146.0,Carita Navages,False
193,0216_01,2,0,6,3,21.0,0,0.0,56.0,0.0,0.0,1918.0,Searla Garnes,False
194,0217_01,2,0,6,1,38.0,0,1517.0,0.0,0.0,27.0,0.0,Prilly Shieldson,False
195,0219_01,2,1,7,1,19.0,0,0.0,0.0,0.0,0.0,0.0,Nica River,True
196,0220_01,2,1,7,1,2.0,0,0.0,0.0,0.0,0.0,0.0,Tyle Wilsoney,True
197,0220_02,2,0,7,1,0.0,0,0.0,0.0,0.0,0.0,0.0,Wena Wilsoney,True
198,0220_03,2,1,7,1,13.0,0,0.0,0.0,0.0,0.0,0.0,Branca Wilsoney,False
199,0220_04,2,0,5,1,25.0,0,122.0,84.0,0.0,0.0,0.0,Dont Wilsoney,False
200,0220_05,2,0,6,1,16.0,0,0.0,3.0,0.0,0.0,1099.0,Velyne Wilsoney,False
201,0220_06,2,0,7,3,1.0,0,0.0,0.0,0.0,0.0,0.0,Weney Wilsoney,False
202,0220_07,2,1,7,1,15.0,0,0.0,0.0,0.0,0.0,0.0,Guye Wilsoney,True
203,0221_01,3,0,5,3,21.0,0,2237.0,0.0,119.0,0.0,0.0,Cowhex Blan,False
204,0221_02,3,0,5,1,23.0,0,1215.0,80.0,1.0,2.0,0.0,Yogark Reke,False
205,0221_03,3,0,5,1,33.0,0,1933.0,12.0,188.0,1.0,0.0,Jacks Reke,False
206,0221_04,3,1,5,1,21.0,0,0.0,0.0,0.0,0.0,0.0,Eerch Reke,True
207,0221_05,3,0,5,1,41.0,0,1230.0,0.0,301.0,43.0,1023.0,Panbug Reke,False
208,0221_06,3,0,5,1,16.0,0,915.0,0.0,221.0,234.0,0.0,Gran Reke,False
209,0221_07,3,1,5,1,42.0,0,0.0,0.0,0.0,0.0,0.0,Rohs Reke,False
210,0222_01,3,0,6,1,20.0,0,1406.0,0.0,0.0,11.0,0.0,Gone Perte,False
211,0222_02,3,1,6,1,24.0,0,0.0,0.0,0.0,0.0,0.0,Colf Deva,True
212,0222_03,3,1,5,1,16.0,0,0.0,0.0,0.0,0.0,0.0,Grake Perte,True
213,0223_01,2,0,7,1,21.0,0,0.0,2.0,665.0,0.0,9.0,Evan Sykess,False
214,0224_01,3,0,6,1,32.0,1,181.0,0.0,5.0,1634.0,0.0,Blues Queen,False
215,0225_01,2,1,7,2,58.0,0,0.0,0.0,0.0,0.0,0.0,Carly Hortis,True
216,0229_01,2,0,6,1,24.0,0,4.0,7.0,0.0,713.0,79.0,Done Sellahaney,False
217,0231_01,3,0,6,1,30.0,0,85.0,0.0,1.0,1720.0,0.0,Krus Nate,False
218,0232_01,2,1,7,2,27.0,0,0.0,0.0,0.0,0.0,0.0,Nica Bakerrison,False
219,0233_01,3,0,6,1,32.0,0,56.0,0.0,256.0,1438.0,0.0,Teda Wist,False
220,0234_01,2,0,6,1,43.0,0,0.0,888.0,0.0,0.0,0.0,Keitha Josey,False
221,0237_01,1,1,2,1,42.0,0,0.0,0.0,0.0,0.0,0.0,Weias Aginge,True
222,0239_01,3,0,7,1,37.0,0,637.0,0.0,0.0,92.0,319.0,Diedow Resty,False
223,0240_01,3,1,6,1,35.0,0,0.0,0.0,0.0,0.0,0.0,Puffes Crie,True
224,0241_01,1,0,5,3,33.0,0,0.0,1249.0,0.0,4812.0,1116.0,Alas Dischod,False
225,0242_01,2,0,6,1,18.0,0,313.0,1.0,691.0,283.0,0.0,Almone Sté,False
226,0243_01,2,1,7,1,21.0,0,0.0,0.0,0.0,0.0,0.0,Lilace Cartyernan,False
227,0244_01,3,1,7,1,43.0,0,0.0,0.0,0.0,0.0,0.0,Froos Sad,True
228,0244_02,3,1,6,3,14.0,0,0.0,0.0,0.0,0.0,0.0,Tous Sad,True
229,0245_01,1,0,3,3,46.0,0,0.0,3571.0,0.0,0.0,7.0,Glueba Repumparte,True
230,0245_02,1,0,3,1,33.0,0,0.0,86.0,796.0,584.0,10912.0,Anchib Repumparte,False
231,0246_01,3,0,4,1,21.0,0,2947.0,0.0,287.0,27.0,0.0,Mele Sesa,False
232,0248_01,1,0,3,1,33.0,0,0.0,1.0,0.0,8620.0,1063.0,Genifi Spanxibus,False
233,0250_01,2,1,7,2,47.0,0,0.0,0.0,0.0,0.0,0.0,Camily Kramosley,False
234,0251_01,2,1,3,3,54.0,0,0.0,0.0,0.0,0.0,0.0,Diphah Amsive,True
235,0252_01,2,0,6,1,30.0,0,335.0,695.0,541.0,0.0,0.0,Leenny Byerry,False
236,0253_01,2,0,7,1,29.0,0,272.0,615.0,0.0,0.0,1.0,Dawne Cardner,False
237,0254_01,2,0,6,1,21.0,0,702.0,172.0,408.0,2.0,6.0,Race Stenson,True
238,0255_01,1,1,1,1,24.0,0,0.0,0.0,0.0,0.0,0.0,Ashir Mingious,True
239,0257_01,3,0,6,3,21.0,0,1664.0,0.0,0.0,0.0,0.0,Errohs Berte,False
240,0257_02,3,1,6,1,60.0,0,0.0,0.0,0.0,0.0,0.0,Squars Berte,True
241,0258_01,2,0,6,1,22.0,0,0.0,0.0,313.0,299.0,92.0,Feryla Cooperkins,False
242,0260_01,1,0,5,1,26.0,0,0.0,4810.0,0.0,981.0,2054.0,Segino Inderly,False
243,0261_01,2,0,6,1,26.0,0,66.0,29.0,0.0,0.0,803.0,Dord Bookerson,False
244,0263_01,2,1,7,1,28.0,0,0.0,0.0,0.0,0.0,0.0,Maen Merkins,True
245,0265_01,1,1,4,1,39.0,0,0.0,0.0,0.0,0.0,0.0,Etair Herpumble,True
246,0267_01,2,0,6,1,13.0,0,118.0,0.0,0.0,754.0,1.0,Lilace Sancockett,False
247,0269_01,2,0,6,3,47.0,0,0.0,231.0,592.0,0.0,0.0,Lerome Polliamposs,True
248,0270_01,2,0,6,1,63.0,0,0.0,25.0,128.0,0.0,1240.0,Cathya Fryersonis,False
250,0277_01,2,0,6,3,50.0,0,44.0,2390.0,0.0,53.0,0.0,Byront Mcdanield,True
251,0278_01,2,0,7,1,35.0,0,0.0,0.0,0.0,888.0,0.0,Judya Beachez,False
252,0278_02,2,0,7,1,45.0,0,0.0,97.0,0.0,14.0,333.0,Marice Beachez,False
253,0281_01,2,0,6,1,19.0,0,0.0,0.0,2078.0,0.0,0.0,Derine Pierry,True
254,0282_01,2,0,6,1,21.0,0,0.0,918.0,0.0,0.0,0.0,Valex Baketton,True
255,0283_01,2,1,7,2,29.0,0,0.0,0.0,0.0,0.0,0.0,Jacky Santin,True
256,0283_02,2,0,6,1,22.0,0,146.0,654.0,1.0,0.0,2.0,Roydo Santin,True
257,0285_01,1,1,5,1,14.0,0,0.0,0.0,0.0,0.0,0.0,Krabik Invebodene,True
258,0285_02,1,1,5,3,42.0,0,0.0,0.0,0.0,0.0,0.0,Grasath Invebodene,True
259,0286_01,2,0,6,3,57.0,0,3.0,1281.0,29.0,162.0,13.0,Carita Jimes,False
260,0287_01,1,1,7,3,39.0,0,0.0,0.0,0.0,0.0,0.0,Tetra Bootty,True
261,0287_02,1,0,2,1,28.0,0,0.0,587.0,32.0,6.0,1460.0,Alasym Bootty,False
262,0288_01,2,0,6,3,19.0,0,0.0,0.0,0.0,0.0,828.0,Gory Delez,False
263,0289_01,1,1,3,3,19.0,0,0.0,0.0,0.0,0.0,0.0,Furuson Objeciane,True
264,0290_01,1,0,2,3,26.0,0,0.0,4458.0,0.0,1157.0,262.0,Skaton Excialing,True
265,0290_02,1,1,2,1,17.0,0,0.0,0.0,0.0,0.0,0.0,Algor Excialing,True
266,0290_03,1,0,2,1,43.0,0,0.0,0.0,0.0,0.0,0.0,Dhenar Excialing,True
267,0290_04,1,0,2,3,9.0,0,0.0,0.0,0.0,0.0,0.0,Atino Excialing,True
268,0291_01,1,0,4,1,40.0,0,0.0,6500.0,88.0,1090.0,0.0,Castab Brakeril,True
269,0294_01,1,1,2,1,50.0,0,0.0,0.0,0.0,0.0,0.0,Phonons Roforhauge,True
270,0297_01,2,0,7,1,24.0,0,90.0,2.0,1324.0,17.0,0.0,Ernice Gardonadox,True
